scope,subject,relation
基础知识,经度的递变,包含
基础知识,月球,包含
基础知识,纬度的递变,包含
基础知识,纬线的形状和长度,包含
基础知识,经线的形状和长度,包含
基础知识,东西经的判断,包含
基础知识,南北纬的判断,包含
基础知识,东西半球的划分,包含
基础知识,东西方向的判断,包含
基础知识,比例尺大小与图示范围,包含
基础知识,地图上方向的确定,包含
基础知识,等值线的疏密,包含
基础知识,等高线的凸向与地形,包含
基础知识,等高线的凸向与河流,包含
基础知识,等温线的凸向与洋流,包含
基础知识,天体的类别,包含
基础知识,天体系统的层次,包含
基础知识,大行星按特徵分类,包含
基础知识,地球生命存在的原因,包含
基础知识,太阳外部结构及其相应的太阳活动,包含
基础知识,太阳活动,包含
基础知识,太阳活动的影响,包含
基础知识,太阳辐射的影响,包含
基础知识,自转方向,包含
基础知识,自转速度,包含
基础知识,自传周期,包含
基础知识,自传意义,包含
基础知识,晨昏线,包含
基础知识,晨昏线与经线,包含
基础知识,时间计算,包含
基础知识,世界时,包含
基础知识,日期分割,包含
基础知识,日界线,包含
基础知识,卫星发射基地的区位选择,包含
基础知识,公转速度,包含
基础知识,公转速度意义,包含
基础知识,公转与自转形成了黄赤交角（23°26′）,包含
基础知识,正午太阳高度变化规律,包含
基础知识,昼夜长短的时间分布,包含
基础知识,昼夜长短的纬度分布,包含
基础知识,昼长,包含
基础知识,日出时间,包含
基础知识,日落时间,包含
基础知识,昼夜现象出现,包含
基础知识,昼夜更替,包含
基础知识,四季五带,包含
基础知识,对流层的特点,包含
基础知识,平流层的特点,包含
基础知识,大气的热力过程,包含
基础知识,大气对太阳辐射的削弱作用,包含
基础知识,太阳辐射（光照）与天气、地势关系,包含
基础知识,大气的保温效应,包含
基础知识,气温与天气,包含
基础知识,气温的垂直分布,包含
基础知识,气温的水准分布,包含
基础知识,气温年较差,包含
基础知识,热力环流的性质特点,包含
基础知识,水准方向气压与气温,包含
基础知识,风的形成,包含
基础知识,风向,包含
基础知识,根据等压线的分布确定风向：以右图为例画A点的风向及其受力,包含
基础知识,锋面与天气（冷暖不同气团作水准运动并相遇）,包含
基础知识,影响我国天气的主要锋面,包含
基础知识,气压系统与天气（同一气团作垂直运动）,包含
基础知识,三圈环流及气压带风带,包含
基础知识,气压带和风带的移动,包含
基础知识,季风环流,包含
基础知识,气候形成因素,包含
基础知识,判断气候类型的步骤,包含
基础知识,气候类型,包含
基础知识,大陆性与海洋性气候的不同特点（以北半球为例分析）,包含
基础知识,气象灾害,包含
基础知识,大气环境问题,包含
基础知识,温室效应,包含
基础知识,绿化的环境效益,包含
基础知识,水回圈,包含
基础知识,陆地水体的相互关系,包含
基础知识,我国河流补给的差别,包含
基础知识,海水等温线的判读,包含
基础知识,影响海水温度因素,包含
基础知识,洋流的形成,包含
基础知识,洋流的分布,包含
基础知识,洋流对地理环境的影响,包含
基础知识,世界主要渔场,包含
基础知识,海洋渔业集中在大陆架的原因,包含
基础知识,海洋灾害,包含
基础知识,海洋环境问题,包含
基础知识,地球的内部圈层,包含
基础知识,岩石圈范围,包含
基础知识,岩石成因分类,包含
基础知识,地壳物质回圈,包含
基础知识,地质作用,包含
基础知识,地质构造的类型,包含
基础知识,背斜成谷向斜成山的原因,包含
基础知识,地垒,包含
基础知识,地堑,包含
基础知识,地质构造对人类生产活动的影响,包含
基础知识,外力作用与常见地貌,包含
基础知识,陆地环境的整体性,包含
基础知识,陆地环境的地域差异,包含
基础知识,影响山地垂直带谱的因素,包含
基础知识,影响雪线高低的因素,包含
基础知识,非地带性因素,包含
基础知识,主要地质灾害,包含
基础知识,两大地震带,包含
基础知识,我国多地震的原因,包含
基础知识,地质灾害的防御,包含
基础知识,人类对宇宙的认识过程,包含
基础知识,宇宙的基本特点,包含
基础知识,天体的分类,包含
基础知识,天体系统的成因,包含
基础知识,天体系统的级别,包含
基础知识,日地平均距离,包含
基础知识,太阳系八大行星的位置,包含
基础知识,八大行星按结构特征分类,包含
基础知识,地球上生物出现和进化的原因,包含
基础知识,太阳的主要成分,包含
基础知识,太阳辐射能量的来源,包含
基础知识,太阳辐射对地球和人类的影响,包含
基础知识,我国太阳能的分布,包含
基础知识,太阳外部结构及其相应的太阳活动 ,包含
基础知识,太阳黑子的变化周期,包含
基础知识,太阳活动对地球的影响,包含
基础知识,月相,包含
基础知识,月相变化规律,包含
基础知识,星期的由来 ,包含
基础知识,空间探索阶段的开始,包含
基础知识,空间开发阶段的开始,包含
基础知识,宇宙自然资源的分类,包含
基础知识,保护宇宙环境,包含
基础知识,地球的平均半径,包含
基础知识,地球的赤道周长,包含
基础知识,东西两半球的划分,包含
基础知识, 南北两半球的划分,包含
基础知识,南北回归线和南北极圈,包含
基础知识,本初子午线,包含
基础知识,南北方向的判断,包含
基础知识,地球自转的方向,包含
基础知识,地球自转的周期,包含
基础知识,地球自转的速度,包含
基础知识,地球公转的轨道 ,包含
基础知识,地球公转的方向,包含
基础知识,地球公转的周期,包含
基础知识,地球公转的速度,包含
基础知识,黄赤交角,包含
基础知识,太阳直射点的移动规律,包含
基础知识,晨昏线的判断,包含
基础知识,地方时的计算,包含
基础知识,已知经度求时区数,包含
基础知识,区时的计算,包含
基础知识,北京时间,包含
基础知识,国际日期变更线,包含
基础知识,地球自转的地理意义,包含
基础知识,太阳直射点的判断,包含
基础知识,春分日,包含
基础知识,夏至日,包含
基础知识,秋分日,包含
基础知识,冬至日,包含
基础知识,夏半年的概念,包含
基础知识,冬半年的概念,包含
基础知识,地球侧视图的判读,包含
基础知识,地球俯视图的判读,包含
基础知识,昼夜长短的计算,包含
基础知识,日出日落时刻的计算,包含
基础知识,昼夜长短的判断,包含
基础知识,正午太阳高度的计算,包含
基础知识,天文四季,包含
基础知识,我国传统四季,包含
基础知识,欧美传统四季,包含
基础知识,二十四节气,包含
基础知识,五带的名称和范围,包含
基础知识,地球公转的地理意义,包含
基础知识,大气圈对地球的重要意义,包含
基础知识,低层大气的组成,包含
基础知识,干洁空气的组成,包含
基础知识,氧、氮、臭氧、二氧化碳、水汽和尘埃的作用,包含
基础知识,大气污染,包含
基础知识,大气垂直分层,包含
基础知识,对流层的主要特征,包含
基础知识,平流层的主要特征,包含
基础知识,影响太阳辐射强度的最主要因素,包含
基础知识,辐射定律,包含
基础知识,地面辐射,包含
基础知识,大气逆辐射,包含
基础知识,全球的热量平衡,包含
基础知识,引起大气运动的根本原因,包含
基础知识,热力环流,包含
基础知识,形成风的直接原因,包含
基础知识,地转偏向力的方向,包含
基础知识,摩擦力对风向的影响,包含
基础知识,根据等压线判断风向的步骤,包含
基础知识,小气候,包含
基础知识,海平面等压线与风力大小,包含
基础知识,大气环流的意义,包含
