subject,content,relation
经度的递变,向东度数增大为东经度，向西度数增大为西经度。,包含
月球,(1)月球的正面永远都是向著地球，也有昼夜更替；,包含
月球,(2)无大气，故月球表面昼夜的温差大，陨石坑多，无声音、无风；,包含
月球,(3)月球表面有山脉、平原（即月海）、火山。,包含
纬度的递变,向北度数增大为北纬度，向南度数增大为南纬度。,包含
纬线的形状和长度,互相平行的圆，赤道是最长的纬线圈，由此往两极逐渐缩短。,包含
经线的形状和长度,所有经线都是交于南北极点的半圆，长度都相等。,包含
东西经的判断,沿著自转方向增大的是东经，减小的是西经。,包含
南北纬的判断,度数向北增大为北纬，向南增大为南纬。,包含
东西半球的划分,20°W往东至160°E为东半球，20°W往西至160°E为西半球。,包含
东西方向的判断,劣弧定律（例如东经80°在东经1°的东面，在西经170°的西面）,包含
比例尺大小与图示范围,相同图幅，比例尺愈大，表示的范围愈小；比例尺愈小，表示的范围愈大。,包含
地图上方向的确定,一般情况，“上北下南，左西右东”；有指向标的地图，指向标的箭头指向北方；经纬网地图，经线指示南北方向，纬线指示东西方向。,包含
等值线的疏密,同一幅图中等高线越密，坡度越陡；等压线越密，风力越大；等温线越密，温差越大。,包含
等高线的凸向与地形,等高线向高处凸出的地方为山谷，向低处凸出的地方为山脊。,包含
等高线的凸向与河流,等高线凸出方向与河流流向相反。,包含
等温线的凸向与洋流,等温线凸出方向与洋流流向相同。,包含
天体的类别,星云、恒星、流星、彗星、行星、卫星、星际空间的气体、尘埃等。,包含
天体系统的层次,总星系——银河系（银河外星系）——太阳系——地月系,包含
大行星按特徵分类,类地行星（水金地火）、巨行星（木土）、远日行星（天、海）。,包含
地球生命存在的原因,稳定的光照条件、安全的宇宙环境、适宜的大气和温度、液态水。,包含
太阳外部结构及其相应的太阳活动,光球(黑子)、色球(耀斑)、日冕(太阳风)。,包含
太阳活动,黑子（标志）、耀斑（最激烈），太阳黑子的变化周期11年。,包含
太阳活动的影响,黑子--影响气候，耀斑-－电离层-－无线电通讯，带电粒子流――磁场――磁暴。,包含
太阳辐射的影响,①维持地表温度，促进地球上水、大气、生物活动和变化的主要动力。,包含
太阳辐射的影响,②太阳能是我们日常所用能源。,包含
自转方向,自西向东，北极上空俯视呈逆时针方向、南极上空俯视呈顺时针方向。,包含
