scope,subject,relation
自然地理,经度的递变：,包含
自然地理,纬度的递变：,包含
自然地理,纬线的形状和长度：,包含
自然地理,经线的形状和长度：,包含
自然地理,东西经的判断：,包含
自然地理,南北纬的判断：,包含
自然地理,东西半球的划分：,包含
自然地理,东西方向的判断：,包含
自然地理,比例尺大小与图示范围：,包含
自然地理,地图上方向的确定：,包含
自然地理,等值线的疏密：,包含
自然地理,等高线的凸向与地形：,包含
自然地理,等高线的凸向与河流：,包含
自然地理,等温线的凸向与洋流：,包含
自然地理,天体的类别:,包含
自然地理,天体系统的层次:,包含
自然地理,大行星按特征分类：,包含
自然地理,月球：,包含
自然地理,地球生命存在的原因: ,包含
自然地理,太阳外部结构及其相应的太阳活动：,包含
自然地理,太阳活动,包含
自然地理,太阳活动的影响：,包含
自然地理,太阳辐射的影响：,包含
自然地理,自转 方向：,包含
自然地理,速度：,包含
自然地理,周期：,包含
自然地理,意义：,包含
自然地理,晨昏线：,包含
自然地理,晨昏线与经线：,包含
自然地理,时间计算：,包含
自然地理,世界时：,包含
自然地理,日期分割：,包含
自然地理,日界线：,包含
自然地理,卫星发射基地的区位选择：,包含
自然地理,公转 速度：,包含
自然地理,公转 速度 意义：,包含
自然地理,公转与自转形成了黄赤交角（23°26′）：,包含
自然地理,正午太阳高度变化规律：,包含
自然地理,昼夜长短的时间分布：,包含
自然地理,昼夜长短的纬度分布：,包含
自然地理,昼长=,包含
自然地理,日出时间＝,包含
自然地理,日落时间＝,包含
自然地理,典型的季节现象,包含
自然地理,地球公转:,包含
自然地理,正午太阳高度:,包含
自然地理,昼夜长短:,包含
自然地理,等温线:,包含
自然地理,气压带、风带:,包含
自然地理,雪线:,包含
自然地理,北印度洋洋流:,包含
自然地理,我国的降水:,包含
自然地理,我国的河流:,包含
自然地理,我国的季风:,包含
自然地理,我国的农业生产:,包含
自然地理,气象灾害:,包含
自然地理,地质灾害:,包含
自然地理,对流层的特点：,包含
自然地理,平流层的特点：,包含
自然地理,大气的热力过程：,包含
自然地理,大气对太阳辐射的削弱作用：,包含
自然地理,太阳辐射（光照）与天气、地势关系：,包含
自然地理,大气的保温效应：,包含
自然地理,气温与天气：,包含
自然地理,气温的垂直分布：,包含
自然地理,气温的水平分布：,包含
自然地理,气温年较差：,包含
自然地理,热力环流的性质特点,包含
自然地理,水平方向气压与气温：,包含
自然地理,风的形成：,包含
自然地理,旱涝灾害发生在春夏秋，影响到除西部一些沙漠地区外的全国范围，天气变化：,包含
自然地理,寒潮发生在秋末、冬季、初春，发源于蒙古、西伯利亚，影响到除青藏、云贵、海南外的广大地区，天气变化：,包含
自然地理,主要的大气环境问题：,包含
自然地理,温室效应,包含
自然地理,绿化的环境效益：,包含
自然地理,水循环：,包含
自然地理,陆地水体的相互关系：,包含
自然地理,我国河流补给的差别：,包含
自然地理,海水等温线的判读：,包含
自然地理,影响海水温度因素,包含
自然地理,洋流的形成:,包含
