name,relation,subject,
题目,包含,经度的递变,
题目,包含,月球,
题目,包含,月球,
题目,包含,月球,
题目,包含,纬度的递变,
题目,包含,纬线的形状和长度,
题目,包含,经线的形状和长度,
题目,包含,东西经的判断,
题目,包含,南北纬的判断,
题目,包含,东西半球的划分,
题目,包含,东西方向的判断,
题目,包含,比例尺大小与图示范围,
题目,包含,地图上方向的确定,
题目,包含,等值线的疏密,
题目,包含,等高线的凸向与地形,
题目,包含,等高线的凸向与河流,
题目,包含,等温线的凸向与洋流,
题目,包含,天体的类别,
题目,包含,天体系统的层次,
题目,包含,大行星按特徵分类,
题目,包含,地球生命存在的原因,
题目,包含,太阳外部结构及其相应的太阳活动,
题目,包含,太阳活动,
题目,包含,太阳活动的影响,
题目,包含,太阳辐射的影响,
题目,包含,太阳辐射的影响,
题目,包含,自转方向,
题目,包含,自转速度,
题目,包含,自转速度,
题目,包含,自传周期,
题目,包含,自传周期,
题目,包含,自传意义,
题目,包含,自传意义,
题目,包含,自传意义,
题目,包含,晨昏线,
题目,包含,晨昏线与经线,
题目,包含,时间计算,
题目,包含,世界时,
题目,包含,日期分割,
题目,包含,日界线,
题目,包含,卫星发射基地的区位选择,
题目,包含,卫星发射基地的区位选择,
题目,包含,公转速度,
题目,包含,公转速度意义,
题目,包含,公转速度意义,
题目,包含,公转速度意义,
题目,包含,公转速度意义,
题目,包含,公转与自转形成了黄赤交角（23°26′）,
题目,包含,公转与自转形成了黄赤交角（23°26′）,
题目,包含,公转与自转形成了黄赤交角（23°26′）,
题目,包含,正午太阳高度变化规律,
题目,包含,正午太阳高度变化规律,
题目,包含,正午太阳高度变化规律,
题目,包含,正午太阳高度变化规律,
题目,包含,正午太阳高度变化规律,
题目,包含,昼夜长短的时间分布,
题目,包含,昼夜长短的时间分布,
题目,包含,昼夜长短的时间分布,
题目,包含,昼夜长短的纬度分布,
题目,包含,昼长,
题目,包含,日出时间,
题目,包含,日落时间,
题目,包含,昼夜现象出现,
题目,包含,昼夜更替,
题目,包含,四季五带,
题目,包含,对流层的特点,
题目,包含,对流层的特点,
题目,包含,对流层的特点,
题目,包含,平流层的特点,
题目,包含,平流层的特点,
题目,包含,大气的热力过程,
题目,包含,大气对太阳辐射的削弱作用,
题目,包含,太阳辐射（光照）与天气、地势关系,
题目,包含,大气的保温效应,
题目,包含,气温与天气,
题目,包含,气温的垂直分布,
题目,包含,气温的水准分布,
题目,包含,气温的水准分布,
题目,包含,气温的水准分布,
题目,包含,气温年较差,
题目,包含,气温年较差,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,热力环流的性质特点,
题目,包含,水准方向气压与气温,
题目,包含,风的形成,
题目,包含,风向,
题目,包含,根据等压线的分布确定风向：以右图为例画A点的风向及其受力,
题目,包含,根据等压线的分布确定风向：以右图为例画A点的风向及其受力,
题目,包含,根据等压线的分布确定风向：以右图为例画A点的风向及其受力,
题目,包含,锋面与天气（冷暖不同气团作水准运动并相遇）,
题目,包含,锋面与天气（冷暖不同气团作水准运动并相遇）,
题目,包含,影响我国天气的主要锋面,
题目,包含,气压系统与天气（同一气团作垂直运动）,
题目,包含,气压系统与天气（同一气团作垂直运动）,
题目,包含,三圈环流及气压带风带,
题目,包含,三圈环流及气压带风带,
题目,包含,三圈环流及气压带风带,
题目,包含,气压带和风带的移动,
题目,包含,季风环流,
题目,包含,气候形成因素,
题目,包含,判断气候类型的步骤,
题目,包含,判断气候类型的步骤,
题目,包含,判断气候类型的步骤,
题目,包含,气候类型,
题目,包含,气候类型,
题目,包含,气候类型,
题目,包含,大陆性与海洋性气候的不同特点（以北半球为例分析）,
题目,包含,气象灾害,
题目,包含,大气环境问题,
题目,包含,温室效应,
题目,包含,温室效应,
题目,包含,温室效应,
题目,包含,温室效应,
题目,包含,绿化的环境效益,
题目,包含,绿化的环境效益,
题目,包含,绿化的环境效益,
题目,包含,水回圈,
题目,包含,水回圈,
题目,包含,水回圈,
题目,包含,陆地水体的相互关系,
题目,包含,陆地水体的相互关系,
题目,包含,陆地水体的相互关系,
题目,包含,我国河流补给的差别,
题目,包含,我国河流补给的差别,
题目,包含,海水等温线的判读,
题目,包含,海水等温线的判读,
题目,包含,影响海水温度因素,
题目,包含,洋流的形成,
题目,包含,洋流的分布,
题目,包含,洋流的分布,
题目,包含,洋流的分布,
题目,包含,洋流的分布,
题目,包含,洋流对地理环境的影响,
题目,包含,洋流对地理环境的影响,
题目,包含,洋流对地理环境的影响,
题目,包含,洋流对地理环境的影响,
题目,包含,世界主要渔场,
题目,包含,海洋渔业集中在大陆架的原因,
题目,包含,海洋渔业集中在大陆架的原因,
题目,包含,海洋灾害,
题目,包含,海洋环境问题,
题目,包含,地球的内部圈层,
题目,包含,岩石圈范围,
题目,包含,岩石成因分类,
题目,包含,地壳物质回圈,
题目,包含,地质作用,
题目,包含,地质作用,
题目,包含,地质构造的类型,
题目,包含,背斜成谷向斜成山的原因,
题目,包含,地垒,
题目,包含,地堑,
题目,包含,地质构造对人类生产活动的影响,
题目,包含,外力作用与常见地貌,
题目,包含,外力作用与常见地貌,
题目,包含,外力作用与常见地貌,
题目,包含,外力作用与常见地貌,
题目,包含,陆地环境的整体性,
题目,包含,陆地环境的地域差异,
题目,包含,陆地环境的地域差异,
题目,包含,陆地环境的地域差异,
题目,包含,影响山地垂直带谱的因素,
题目,包含,影响山地垂直带谱的因素,
题目,包含,影响山地垂直带谱的因素,
题目,包含,影响山地垂直带谱的因素,
题目,包含,影响雪线高低的因素,
题目,包含,影响雪线高低的因素,
题目,包含,非地带性因素,
题目,包含,主要地质灾害,
题目,包含,两大地震带,
题目,包含,我国多地震的原因,
题目,包含,地质灾害的防御,
题目,包含,人类对宇宙的认识过程,
题目,包含,宇宙的基本特点,
题目,包含,天体的分类,
题目,包含,天体系统的成因,
题目,包含,天体系统的级别,
题目,包含,日地平均距离,
题目,包含,太阳系八大行星的位置,
题目,包含,八大行星按结构特征分类,
题目,包含,地球上生物出现和进化的原因,
题目,包含,太阳的主要成分,
题目,包含,太阳辐射能量的来源,
题目,包含,太阳辐射对地球和人类的影响,
题目,包含,太阳活动,
题目,包含,我国太阳能的分布,
题目,包含,太阳外部结构及其相应的太阳活动 ,
题目,包含,太阳黑子的变化周期,
题目,包含,太阳活动对地球的影响,
题目,包含,太阳活动对地球的影响,
题目,包含,太阳活动对地球的影响,
题目,包含,月相,
题目,包含,月相变化规律,
题目,包含,星期的由来 ,
题目,包含,空间探索阶段的开始,
题目,包含,空间开发阶段的开始,
题目,包含,宇宙自然资源的分类,
题目,包含,保护宇宙环境,
题目,包含,地球的平均半径,
